ID,Name,,,
243,Lloyd Bochner,,,
244,Marriette Hartley,,,
245,Warren Stevens,,,
246,James McCallion,,,
247,Brock Peters,,,
248,Lynne Hamilton,,,
249,Ken Lynch,,,
250,Virginia Dwyer,,,
251,Kirk Peterson,,,
252,Margeret Hamilton,,,
253,Jane White,,,
254,Carlos Carrasco,,,
255,Len Gochman,,,
256,Roy LeMay,,,
257,Arthur Anderson,,,
258,E. Marshall,,,
259,Josephine Premice,,,
260,Shelly Bruce,,,
261,Saul Panitz,,,
262,Morgan Fairchild,,,
263,Marie Cheatham,,,
264,Ann Williams,,,
265,Alfred Bester,,,
266,Frank Behrens,,,
267,Robert Phelps,,,
268,Catherine Butterfield,,,
269,William Griffis,,,
270,Eugene Francis,,,
271,Vincent Guardinia,,,
272,Betty Winkler,,,
273,Hurd Hatfield,,,
274,Betsy Beard,,,
275,Bob Readick,,,
276,Robert Burr,,,
277,Judith Light,,,
278,Stella Moss,,,
279,Ray Owens,,,
280,Fletcher Markle,,,
281,Murray Flersheim,,,
282,Alan Swift,,,
283,Howard Ross,,,
284,Gerald Keane,,,
285,Phyllis Newman,,,
286,Sarah Parker,,,
287,Karen Thorsen,,,
288,Frederick G. Lewis,Same as 300,,
289,Gordon Heath,,,
290,Percy Granger,,,
291,Roger Baron,,,
292,Eileen Heckart,,,
293,Lois Kibbee,,,
294,James Agate,Same as 330,,
295,Judy Lewis,,,
296,Elizabeth Lathram,,,
297,Adam Roth,,,
298,Ed Ames,,,
299,Bryce Bond,,,
300,G.Frederick Lewis,Same as 288,,
301,Lamont Johnson,,,
302,Barbara Sohmers,,,
303,Charles Irving,,,
304,Morleen Rouse,,,
305,Felicia Farr,,,
306,John Lithgow,,,
307,Jane Ives,,,
308,Joan Beal,,,
309,Unknown,,,
310,Eugene Troobnick,,,
311,William Teitel,,,
312,Kathleen Quinlan,,,
313,Joan Banks,,,
314,Himan Brown,,,
315,Kay Martin,,,
316,Gerald Hiken,,,
317,Velita Gray,,,
318,Diana Kirkwood,,,
319,Heather McCray,,,
320,Joyce Gordon,,,
321,Tracy Ellis,,,
322,Amanda Plummer,,,
323,George Furth,,,
324,Len Cariou,,,
325,Bernard Grant,,,
326,Tudi Wiggins,,,
327,Douglas Dempsey,,,
328,Louis Turenne,,,
329,Sally Fisher,,,
330,James Agate,,,
331,Bryce Walton,,,
332,Cynthia Harris,,,
333,John Vickery,,,
334,Steve Lehrman,,,
335,Cynthia Adler,,,
336,Mary Renwick,,,
337,Lee Richardson,,,
338,Mia Dillon,,,
339,Mary Negro,,,
340,Dallas Coke,,,
341,Skip Hinnant,,,
